dataset,query_id,query_path,query_label,join_size,sql_sha1
job,10a,join-order-benchmark/queries/10a.sql,,7,1fe1fac887e587704d8acfcf101d8ddb889af0bb
job,10b,join-order-benchmark/queries/10b.sql,,7,9b80385e12b0bc3588ed47744f3fd15b00d2ed67
job,10c,join-order-benchmark/queries/10c.sql,,7,ea39de1222da8bcdfa62f61924ee9a34d0d69ca2
job,11a,join-order-benchmark/queries/11a.sql,,8,95adfcceb8b55020c6e91bc50dda77beede5aae6
job,11b,join-order-benchmark/queries/11b.sql,,8,cd38a71f65698a260b5822d2dbec4f18bea29527
job,11c,join-order-benchmark/queries/11c.sql,,8,31d58638d7daa01ab7c3d129cf70ea84c0006a88
job,11d,join-order-benchmark/queries/11d.sql,,8,fc13ea81ac8faad54bf55017acbd91bfd3e19f63
job,12a,join-order-benchmark/queries/12a.sql,,8,0bad18ee38d352de07b4d69a2a3acd62d30d3f27
job,12b,join-order-benchmark/queries/12b.sql,,8,31a62c1588a8b6479bf65901ec66344a9671800f
job,12c,join-order-benchmark/queries/12c.sql,,8,143204fd6de3686fe496240de6604d96d883880f
job,13a,join-order-benchmark/queries/13a.sql,,9,a933c564731cccf44128290d13d0ffc0cf06b8c2
job,13b,join-order-benchmark/queries/13b.sql,,9,86307949b72766503fe124387e13dc2079981e4f
job,13c,join-order-benchmark/queries/13c.sql,,9,ba0c0fe19b0c74e90674d9a3b9fd126341f9baba
job,13d,join-order-benchmark/queries/13d.sql,,9,d5892648577dc9ce38b69fc5a9c71bc572a86518
job,14a,join-order-benchmark/queries/14a.sql,,8,8dcd0736467b1d9fad76ecf536d3d7e09a38e10b
job,14b,join-order-benchmark/queries/14b.sql,,8,16e5688137a9df6f518c91183ef90e7a6b718fbe
job,14c,join-order-benchmark/queries/14c.sql,,8,3e51e8cd82eb4893aab214a4feebe6a33f8787e6
job,15a,join-order-benchmark/queries/15a.sql,,9,716ce5760889ea764f73067b912c1dfc26a7683e
job,15b,join-order-benchmark/queries/15b.sql,,9,3d647559c9ef13187dd7a506cd509ccec17f0106
job,15c,join-order-benchmark/queries/15c.sql,,9,dee2c65ce84ad4a6fc816968a56d0f0a87c5b95e
job,15d,join-order-benchmark/queries/15d.sql,,9,cbf57d60778c3458b06c845d93f0c5751bf0475f
job,16a,join-order-benchmark/queries/16a.sql,,8,d49917ef6e5b5a941a67b71224558f8971f10937
job,16b,join-order-benchmark/queries/16b.sql,,8,80f32aa34d767fd46163fde23a7c2f0d136f034c
job,16c,join-order-benchmark/queries/16c.sql,,8,b367adff44e26a80e63156d428804ab500fef180
